;files;Glasses?;forehead_up;forehead_ey;nose;eye_brows;hair_style;hair_type;facial_hair;jaw;ears;cheek_lines;mouth;eye_lines;face_shape
307;.\database\CHICAGO_MIX\C_FACE_MIX_0307.jpg;N;Long;Close Set;Button;Curved;Medium length;Wavy;clean shaven;diamond;round;no dimples;natural;almond;oval
308;.\database\CHICAGO_MIX\C_FACE_MIX_0308.jpg;N;Long;Close Set;Button;Flat;Long Hair;Wavy;clean shaven;thin;sticking out;no dimples;natural;round;diamond
309;.\database\CHICAGO_MIX\C_FACE_MIX_0309.jpg;N;Oval;Wide set;Droopy;Angled;Medium length;Wavy;clean shaven;oval;round;no dimples;natural;monolid;round
310;.\database\CHICAGO_MIX\C_FACE_MIX_0310.jpg;N;Round;Wide set;Upturned;Soft Angled;Medium length;Wavy;clean shaven;fat;round;no dimples;full;almond;round
311;.\database\CHICAGO_MIX\C_FACE_MIX_0311.jpg;N;Long;Close Set;Upturned;Curved;Pony Tail;Wavy;clean shaven;trianagle;round;no dimples;natural;monolid;diamond
312;.\database\CHICAGO_MIX\C_FACE_MIX_0312.jpg;N;Long;Close Set;Roman;Angled;Medium length;Wavy;clean shaven;trianagle;sticking out;no dimples;natural;almond;round
313;.\database\CHICAGO_MIX\C_FACE_MIX_0313.jpg;N;Oval;Close Set;Button;Rounded;Medium length;Wavy;clean shaven;thin;sticking out;no dimples;thin upper;round;heart
314;.\database\CHICAGO_MIX\C_FACE_MIX_0314.jpg;N;Oval;Wide set;Button;Soft Angled;Long Hair;Curly;neat beard;thin;sticking out;no dimples;natural;almond;oval
315;.\database\CHICAGO_MIX\C_FACE_MIX_0315.jpg;N;Oval;Close Set;Button;Angled;Medium length;Wavy;clean shaven;diamond;round;no dimples;thin;round;square
316;.\database\CHICAGO_MIX\C_FACE_MIX_0316.jpg;N;Oval;Close Set;Droopy;Curved;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;natural;round;square
317;.\database\CHICAGO_MIX\C_FACE_MIX_0317.jpg;N;Round;Wide set;Aquiline;Flat;Medium length;Wavy;clean shaven;oval;round;no dimples;thin;monolid;round
318;.\database\CHICAGO_MIX\C_FACE_MIX_0318.jpg;N;Long;Wide set;Droopy;Flat;Medium length;Wavy;clean shaven;oval;round;no dimples;natural;almond;round
319;.\database\CHICAGO_MIX\C_FACE_MIX_0319.jpg;N;Long;Wide set;Aquiline;Curved;Bun;Wavy;clean shaven;oval;sticking out;no dimples;small;round;round
320;.\database\CHICAGO_MIX\C_FACE_MIX_0320.jpg;N;Oval;Close Set;Hooked;Curved;Bun;Wavy;clean shaven;trianagle;sticking out;no dimples;natural;almond;oval
321;.\database\CHICAGO_MIX\C_FACE_MIX_0321.jpg;N;Round;Close Set;Droopy;Angled;Pony Tail;Straight;clean shaven;trianagle;narrow;no dimples;thin upper;downturned;oval
322;.\database\CHICAGO_MIX\C_FACE_MIX_0322.jpg;N;Oval;Close Set;Button;Angled;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;small;monolid;round
323;.\database\CHICAGO_MIX\C_FACE_MIX_0323.jpg;N;Long;Wide set;Button;Soft Angled;Pony Tail;Wavy;clean shaven;trianagle;attached;no dimples;full;monolid;square
324;.\database\CHICAGO_MIX\C_FACE_MIX_0324.jpg;N;Round;Wide set;Upturned;Curved;Pony Tail;Wavy;clean shaven;fat;attached;no dimples;thin upper;almond;round
325;.\database\CHICAGO_MIX\C_FACE_MIX_0325.jpg;N;Round;Close Set;Snub;Angled;Pony Tail;Straight;clean shaven;trianagle;narrow;no dimples;small;almond;oval
326;.\database\CHICAGO_MIX\C_FACE_MIX_0326.jpg;N;Long;Close Set;Button;Curved;Pony Tail;Straight;clean shaven;oval;broad;no dimples;full;downturned;square
327;.\database\CHICAGO_MIX\C_FACE_MIX_0327.jpg;N;Square;Close Set;Button;Curved;Pony Tail;Wavy;clean shaven;oval;pointed;no dimples;natural;upturned;square
328;.\database\CHICAGO_MIX\C_FACE_MIX_0328.jpg;N;Long;Wide set;Funnel;Rounded;Long Hair;Wavy;clean shaven;fat;attached;no dimples;natural;downturned;round
329;.\database\CHICAGO_MIX\C_FACE_MIX_0329.jpg;N;Round;Close Set;Button;Angled;Pony Tail;Straight;clean shaven;trianagle;X;no dimples;natural;hooded;square
330;.\database\CHICAGO_MIX\C_FACE_MIX_0330.jpg;N;Round;Close Set;Button;Soft Angled;Medium length;Wavy;clean shaven;oval;round;no dimples;small;hooded;round
331;.\database\CHICAGO_MIX\C_FACE_MIX_0331.jpg;N;Square;Wide set;Snub;Soft Angled;Pony Tail;Straight;clean shaven;oval;attached;no dimples;small;monolid;round
332;.\database\CHICAGO_MIX\C_FACE_MIX_0332.jpg;N;Long;Close Set;Button;Angled;Medium length;Wavy;clean shaven;trianagle;narrow;no dimples;small;monolid;oval
333;.\database\CHICAGO_MIX\C_FACE_MIX_0333.jpg;N;Long;Close Set;Droopy;Curved;Bun;Wavy;clean shaven;oval;round;no dimples;small;monolid;square
334;.\database\CHICAGO_MIX\C_FACE_MIX_0334.jpg;N;Oval;Close Set;Upturned;Soft Angled;Medium length;Wavy;clean shaven;oval;X;no dimples;natural;monolid;round
335;.\database\CHICAGO_MIX\C_FACE_MIX_0335.jpg;N;Square;Wide set;Button;Rounded;Pony Tail;Wavy;clean shaven;oval;attached;no dimples;natural;monolid;square
336;.\database\CHICAGO_MIX\C_FACE_MIX_0336.jpg;N;Round;Close Set;Droopy;Flat;Pony Tail;Straight;clean shaven;trianagle;narrow;no dimples;small;downturned;round
337;.\database\CHICAGO_MIX\C_FACE_MIX_0337.jpg;N;Long;Close Set;Button;Angled;Pony Tail;Straight;clean shaven;oval;round;no dimples;small;monolid;oval
338;.\database\CHICAGO_MIX\C_FACE_MIX_0338.jpg;N;Square;Close Set;Button;Flat;Medium length;Wavy;clean shaven;trianagle;X;no dimples;full;monolid;square
339;.\database\CHICAGO_MIX\C_FACE_MIX_0339.jpg;N;Long;Close Set;Droopy;Angled;Pony Tail;Wavy;clean shaven;oval;sticking out;no dimples;thin;monolid;square
340;.\database\CHICAGO_MIX\C_FACE_MIX_0340.jpg;N;Oval;Wide set;Button;Angled;Pony Tail;Wavy;clean shaven;oval;narrow;no dimples;small;upturned;oval
341;.\database\CHICAGO_MIX\C_FACE_MIX_0341.jpg;N;Long;Close Set;Button;Soft Angled;Medium length;Straight;clean shaven;trianagle;round;no dimples;thin;almond;oval
342;.\database\CHICAGO_MIX\C_FACE_MIX_0342.jpg;N;Square;Close Set;Button;Rounded;Medium length;Curly;clean shaven;trianagle;round;no dimples;small;monolid;square
343;.\database\CHICAGO_MIX\C_FACE_MIX_0343.jpg;N;Long;Wide set;Button;Soft Angled;Medium length;Wavy;clean shaven;oval;narrow;no dimples;natural;monolid;square
344;.\database\CHICAGO_MIX\C_FACE_MIX_0344.jpg;N;Round;Wide set;Snub;Curved;Bun;Curly;clean shaven;oval;narrow;no dimples;thin;upturned;square
345;.\database\CHICAGO_MIX\C_FACE_MIX_0345.jpg;N;Long;Wide set;Button;Angled;Medium length;Curly;clean shaven;oval;attached;no dimples;natural;hooded;square
346;.\database\CHICAGO_MIX\C_FACE_MIX_0346.jpg;N;Round;Close Set;Funnel;Angled;Medium length;Wavy;clean shaven;trianagle;narrow;no dimples;thin upper;monolid;round
347;.\database\CHICAGO_MIX\C_FACE_MIX_0347.jpg;N;Square;Close Set;Snub;Soft Angled;Pony Tail;Straight;clean shaven;trianagle;narrow;no dimples;natural;monolid;square
348;.\database\CHICAGO_MIX\C_FACE_MIX_0348.jpg;N;Long;Close Set;Button;Rounded;Pony Tail;Wavy;clean shaven;oval;narrow;no dimples;thin upper;monolid;square
349;.\database\CHICAGO_MIX\C_FACE_MIX_0349.jpg;N;Round;Close Set;Roman;Angled;Medium length;Wavy;clean shaven;trianagle;attached;no dimples;natural;almond;oval
350;.\database\CHICAGO_MIX\C_FACE_MIX_0350.jpg;N;Square;Wide set;Button;Angled;Medium length;Straight;clean shaven;trianagle;X;no dimples;thin upper;downturned;round
351;.\database\CHICAGO_MIX\C_FACE_MIX_0351.jpg;N;Oval;Close Set;Button;Curved;Medium length;Straight;clean shaven;trianagle;attached;no dimples;natural;upturned;square
352;.\database\CHICAGO_MIX\C_FACE_MIX_0352.jpg;N;Square;Close Set;Funnel;Flat;Medium length;Straight;clean shaven;oval;X;no dimples;thin upper;upturned;square
353;.\database\CHICAGO_MIX\C_FACE_MIX_0353.jpg;N;Square;Wide set;Button;Angled;Medium length;Wavy;clean shaven;oval;attached;no dimples;natural;monolid;square
354;.\database\CHICAGO_MIX\C_FACE_MIX_0354.jpg;N;Round;Close Set;Droopy;Soft Angled;Medium length;Wavy;clean shaven;oval;attached;no dimples;small;round;oval
355;.\database\CHICAGO_MIX\C_FACE_MIX_0355.jpg;N;Long;Close Set;Button;Curved;Bun;Straight;clean shaven;trianagle;round;no dimples;natural;monolid;round
356;.\database\CHICAGO_MIX\C_FACE_MIX_0356.jpg;N;Oval;Close Set;Roman;Rounded;Medium length;Wavy;clean shaven;oval;round;no dimples;thin;monolid;square
357;.\database\CHICAGO_MIX\C_FACE_MIX_0357.jpg;N;Square;Close Set;Button;Curved;Medium length;Straight;clean shaven;oval;X;no dimples;thin upper;round;square
358;.\database\CHICAGO_MIX\C_FACE_MIX_0358.jpg;N;Oval;Close Set;Funnel;Angled;Medium length;Wavy;clean shaven;trianagle;attached;no dimples;small;monolid;square
359;.\database\CHICAGO_MIX\C_FACE_MIX_0359.jpg;N;Round;Close Set;Snub;Curved;Pony Tail;Wavy;clean shaven;oval;sticking out;no dimples;natural;upturned;oval
360;.\database\CHICAGO_MIX\C_FACE_MIX_0360.jpg;N;Square;Close Set;Funnel;Angled;Bun;Curly;clean shaven;oval;round;no dimples;small;monolid;square
361;.\database\CHICAGO_MIX\C_FACE_MIX_0361.jpg;N;Oval;Wide set;Droopy;Angled;Short womens;Wavy;clean shaven;oval;attached;no dimples;thin;round;round
362;.\database\CHICAGO_MIX\C_FACE_MIX_0362.jpg;N;Oval;Close Set;Button;Curved;Bun;Wavy;clean shaven;trianagle;narrow;no dimples;small;hooded;oval
363;.\database\CHICAGO_MIX\C_FACE_MIX_0363.jpg;N;Long;Close Set;Button;Rounded;Long Hair;Wavy;clean shaven;oval;narrow;no dimples;natural;upturned;round
364;.\database\CHICAGO_MIX\C_FACE_MIX_0364.jpg;N;Square;Close Set;Aquiline;Curved;Pixie cut;Wavy;clean shaven;oval;broad;no dimples;thin;monolid;square
365;.\database\CHICAGO_MIX\C_FACE_MIX_0365.jpg;N;Square;Close Set;Roman;Rounded;Pixie cut;Wavy;clean shaven;trianagle;round;no dimples;small;downturned;oval
366;.\database\CHICAGO_MIX\C_FACE_MIX_0366.jpg;N;Long;Close Set;Funnel;Soft Angled;Bald;Straight;clean shaven;oval;sticking out;no dimples;full;monolid;oval
367;.\database\CHICAGO_MIX\C_FACE_MIX_0367.jpg;N;Square;Close Set;Snub;Angled;Pixie cut;Straight;clean shaven;fat;attached;no dimples;small;downturned;square
368;.\database\CHICAGO_MIX\C_FACE_MIX_0368.jpg;N;Square;Wide set;Droopy;Flat;Pixie cut;Wavy;clean shaven;trianagle;round;no dimples;thin;upturned;square
369;.\database\CHICAGO_MIX\C_FACE_MIX_0369.jpg;N;Square;Close Set;Funnel;Angled;Pixie cut;Straight;clean shaven;oval;round;no dimples;full;monolid;square
370;.\database\CHICAGO_MIX\C_FACE_MIX_0370.jpg;N;Round;Close Set;Aquiline;Soft Angled;Pixie cut;Wavy;clean shaven;trianagle;sticking out;no dimples;small;downturned;oval
371;.\database\CHICAGO_MIX\C_FACE_MIX_0371.jpg;N;Square;Close Set;Aquiline;Rounded;Mohawk;Wavy;clean shaven;oval;attached;no dimples;small;upturned;oval
372;.\database\CHICAGO_MIX\C_FACE_MIX_0372.jpg;N;Square;Close Set;Snub;Soft Angled;Dreadlocks;Wavy;clean shaven;trianagle;attached;no dimples;natural;monolid;oval
373;.\database\CHICAGO_MIX\C_FACE_MIX_0373.jpg;N;Long;Close Set;Button;Curved;Bald;Straight;clean shaven;oval;round;no dimples;full;monolid;square
374;.\database\CHICAGO_MIX\C_FACE_MIX_0374.jpg;N;Round;Close Set;Upturned;Curved;Mohawk;Wavy;clean shaven;oval;round;no dimples;natural;monolid;square
375;.\database\CHICAGO_MIX\C_FACE_MIX_0375.jpg;N;Square;Close Set;Aquiline;Curved;Pixie cut;Wavy;clean shaven;oval;sticking out;no dimples;thin upper;monolid;round
376;.\database\CHICAGO_MIX\C_FACE_MIX_0376.jpg;N;Square;Close Set;Snub;Soft Angled;Pixie cut;Straight;clean shaven;trianagle;round;no dimples;natural;monolid;square
377;.\database\CHICAGO_MIX\C_FACE_MIX_0377.jpg;N;Long;Close Set;Upturned;Soft Angled;Pixie cut;Wavy;clean shaven;oval;attached;no dimples;thin upper;monolid;round
378;.\database\CHICAGO_MIX\C_FACE_MIX_0378.jpg;N;Long;Close Set;Droopy;Rounded;Pixie cut;Wavy;clean shaven;oval;narrow;no dimples;thin;monolid;square
379;.\database\CHICAGO_MIX\C_FACE_MIX_0379.jpg;N;Oval;Close Set;Droopy;Flat;Pixie cut;Wavy;clean shaven;oval;narrow;no dimples;small;upturned;oval
380;.\database\CHICAGO_MIX\C_FACE_MIX_0380.jpg;N;Square;Close Set;Snub;Angled;Pixie cut;Curly;clean shaven;trianagle;broad;no dimples;small;monolid;square
381;.\database\CHICAGO_MIX\C_FACE_MIX_0381.jpg;N;Square;Close Set;Button;Angled;Pixie cut;Wavy;clean shaven;oval;round;no dimples;natural;monolid;square
382;.\database\CHICAGO_MIX\C_FACE_MIX_0382.jpg;N;Long;Close Set;Roman;Curved;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;full;upturned;round
383;.\database\CHICAGO_MIX\C_FACE_MIX_0383.jpg;N;Square;Close Set;Roman;Angled;Mohawk;Wavy;clean shaven;oval;pointed;no dimples;small;downturned;square
384;.\database\CHICAGO_MIX\C_FACE_MIX_0384.jpg;N;Long;Close Set;Droopy;Angled;Mohawk;Wavy;clean shaven;oval;broad;no dimples;thin;monolid;oval
385;.\database\CHICAGO_MIX\C_FACE_MIX_0385.jpg;N;Square;Close Set;Droopy;Curved;Pixie cut;Straight;clean shaven;trianagle;round;no dimples;thin;monolid;oval
386;.\database\CHICAGO_MIX\C_FACE_MIX_0386.jpg;N;Square;Close Set;Button;Curved;Pixie cut;Wavy;clean shaven;trianagle;sticking out;no dimples;natural;downturned;square
387;.\database\CHICAGO_MIX\C_FACE_MIX_0387.jpg;N;Round;Close Set;Hooked;Angled;Pixie cut;Straight;clean shaven;oval;broad;no dimples;thin upper;round;square
388;.\database\CHICAGO_MIX\C_FACE_MIX_0388.jpg;N;Square;Close Set;Droopy;Rounded;Mohawk;Wavy;clean shaven;oval;narrow;no dimples;thin upper;monolid;round
389;.\database\CHICAGO_MIX\C_FACE_MIX_0389.jpg;N;Oval;Close Set;Droopy;Angled;Pixie cut;Wavy;clean shaven;oval;round;no dimples;small;upturned;oval
390;.\database\CHICAGO_MIX\C_FACE_MIX_0390.jpg;N;Long;Close Set;Button;Rounded;Pixie cut;Straight;clean shaven;oval;round;no dimples;small;monolid;round
391;.\database\CHICAGO_MIX\C_FACE_MIX_0391.jpg;N;Square;Close Set;Button;Flat;Spiky;Wavy;clean shaven;trianagle;round;no dimples;thin;monolid;square
392;.\database\CHICAGO_MIX\C_FACE_MIX_0392.jpg;N;Round;Wide set;Snub;Curved;Mohawk;Wavy;clean shaven;trianagle;broad;no dimples;thin upper;upturned;round
393;.\database\CHICAGO_MIX\C_FACE_MIX_0393.jpg;N;Square;Close Set;Aquiline;Angled;Dreadlocks;Wavy;clean shaven;oval;narrow;no dimples;small;monolid;oval
394;.\database\CHICAGO_MIX\C_FACE_MIX_0394.jpg;N;Square;Close Set;Roman;Soft Angled;Pixie cut;Wavy;clean shaven;oval;round;no dimples;natural;monolid;oval
395;.\database\CHICAGO_MIX\C_FACE_MIX_0395.jpg;N;Square;Close Set;Droopy;Curved;Pixie cut;Coily;clean shaven;oval;attached;no dimples;full;monolid;oval
396;.\database\CHICAGO_MIX\C_FACE_MIX_0396.jpg;N;Oval;Close Set;Droopy;Curved;Pixie cut;Wavy;clean shaven;trianagle;attached;no dimples;small;downturned;oval
397;.\database\CHICAGO_MIX\C_FACE_MIX_0397.jpg;N;Square;Close Set;Button;Angled;Pixie cut;Straight;clean shaven;trianagle;narrow;no dimples;natural;monolid;square
398;.\database\CHICAGO_MIX\C_FACE_MIX_0398.jpg;N;Square;Close Set;Button;Soft Angled;Mohawk;Wavy;clean shaven;oval;attached;no dimples;full;monolid;square
399;.\database\CHICAGO_MIX\C_FACE_MIX_0399.jpg;N;Round;Close Set;Droopy;Rounded;Pixie cut;Wavy;clean shaven;trianagle;sticking out;no dimples;thin;downturned;square
400;.\database\CHICAGO_MIX\C_FACE_MIX_0400.jpg;N;Long;Close Set;Aquiline;Angled;Pixie cut;Wavy;clean shaven;oval;sticking out;freckles;thin;upturned;round
401;.\database\CHICAGO_MIX\C_FACE_MIX_0401.jpg;N;Round;Close Set;Aquiline;Curved;Bald;Straight;clean shaven;oval;attached;no dimples;full;monolid;square
402;.\database\CHICAGO_MIX\C_FACE_MIX_0402.jpg;N;Long;Close Set;Snub;Soft Angled;Pixie cut;Curly;clean shaven;oval;round;no dimples;small;upturned;oval
403;.\database\CHICAGO_MIX\C_FACE_MIX_0403.jpg;N;Square;Close Set;Funnel;Curved;Mohawk;Coily;clean shaven;fat;narrow;no dimples;small;downturned;round
404;.\database\CHICAGO_MIX\C_FACE_MIX_0404.jpg;N;Oval;Close Set;Upturned;Curved;Pixie cut;Straight;clean shaven;oval;broad;no dimples;full;downturned;square
405;.\database\CHICAGO_MIX\C_FACE_MIX_0405.jpg;N;Oval;Wide set;Droopy;Curved;Mohawk;Wavy;clean shaven;oval;narrow;no dimples;thin;monolid;round
406;.\database\CHICAGO_MIX\C_FACE_MIX_0406.jpg;N;Square;Close Set;Upturned;Flat;Pixie cut;Straight;clean shaven;oval;sticking out;no dimples;small;monolid;round
407;.\database\CHICAGO_MIX\C_FACE_MIX_0407.jpg;N;Square;Close Set;Button;Flat;Pixie cut;Straight;clean shaven;oval;broad;no dimples;thin;hooded;round
408;.\database\CHICAGO_MIX\C_FACE_MIX_0408.jpg;N;Square;Close Set;Snub;Flat;Pixie cut;Straight;clean shaven;oval;round;no dimples;thin lower;downturned;round
409;.\database\CHICAGO_MIX\C_FACE_MIX_0409.jpg;N;Oval;Close Set;Snub;Curved;Pixie cut;Straight;clean shaven;trianagle;sticking out;no dimples;natural;monolid;heart
410;.\database\CHICAGO_MIX\C_FACE_MIX_0410.jpg;N;Oval;Close Set;Upturned;Flat;Spiky;Straight;clean shaven;oval;narrow;no dimples;thin upper;downturned;round
411;.\database\CHICAGO_MIX\C_FACE_MIX_0411.jpg;N;Oval;Wide set;Snub;Flat;Bob;Wavy;stubble;trianagle;narrow;no dimples;thin upper;hooded;diamond
412;.\database\CHICAGO_MIX\C_FACE_MIX_0412.jpg;N;Square;Close Set;Upturned;Curved;Pixie cut;Straight;clean shaven;trianagle;sticking out;no dimples;natural;downturned;heart
413;.\database\CHICAGO_MIX\C_FACE_MIX_0413.jpg;N;Round;Close Set;Snub;Flat;Pixie cut;Straight;clean shaven;fat;narrow;no dimples;natural;downturned;round
414;.\database\CHICAGO_MIX\C_FACE_MIX_0414.jpg;N;Square;Close Set;Droopy;Angled;Pixie cut;Straight;clean shaven;oval;round;no dimples;small;round;round
415;.\database\CHICAGO_MIX\C_FACE_MIX_0415.jpg;N;Round;Close Set;Snub;Flat;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;small;round;round
416;.\database\CHICAGO_MIX\C_FACE_MIX_0416.jpg;N;Oval;Close Set;Snub;Angled;Medium length;Straight;clean shaven;diamond;attached;no dimples;natural;monolid;round
417;.\database\CHICAGO_MIX\C_FACE_MIX_0417.jpg;N;Long;Close Set;Upturned;Angled;Bun;Straight;clean shaven;oval;narrow;no dimples;natural;round;oval
418;.\database\CHICAGO_MIX\C_FACE_MIX_0418.jpg;N;Oval;Wide set;Aquiline;Angled;Bun;Straight;clean shaven;oval;attached;no dimples;thin upper;round;oval
419;.\database\CHICAGO_MIX\C_FACE_MIX_0419.jpg;N;Round;Wide set;Button;Rounded;Short womens;Wavy;clean shaven;fat;narrow;no dimples;small;round;round
420;.\database\CHICAGO_MIX\C_FACE_MIX_0420.jpg;N;Oval;Close Set;Aquiline;Rounded;Medium length;Straight;clean shaven;oval;narrow;no dimples;thin upper;round;square
421;.\database\CHICAGO_MIX\C_FACE_MIX_0421.jpg;N;Oval;Wide set;Aquiline;Rounded;Bun;Straight;clean shaven;oval;sticking out;no dimples;thin upper;round;oval
422;.\database\CHICAGO_MIX\C_FACE_MIX_0422.jpg;N;Round;Close Set;Aquiline;Flat;Medium length;Straight;clean shaven;oval;pointed;no dimples;thin upper;round;square
423;.\database\CHICAGO_MIX\C_FACE_MIX_0423.jpg;N;Round;Wide set;Snub;Soft Angled;Medium length;Straight;clean shaven;oval;attached;no dimples;small;round;round
424;.\database\CHICAGO_MIX\C_FACE_MIX_0424.jpg;N;Oval;Close Set;Aquiline;Rounded;Medium length;Straight;clean shaven;oval;round;no dimples;natural;round;oval
425;.\database\CHICAGO_MIX\C_FACE_MIX_0425.jpg;N;Oval;Close Set;Aquiline;Flat;Bun;Straight;clean shaven;oval;narrow;no dimples;natural;almond;oval
426;.\database\CHICAGO_MIX\C_FACE_MIX_0426.jpg;N;Oval;Close Set;Snub;Rounded;Bob;Wavy;clean shaven;fat;narrow;no dimples;natural;hooded;round
427;.\database\CHICAGO_MIX\C_FACE_MIX_0427.jpg;N;Oval;Close Set;Aquiline;Angled;Bob;Straight;clean shaven;oval;pointed;no dimples;thin upper;round;round
428;.\database\CHICAGO_MIX\C_FACE_MIX_0428.jpg;N;Square;Close Set;Aquiline;Angled;Medium length;Curly;clean shaven;trianagle;round;no dimples;thin upper;round;round
429;.\database\CHICAGO_MIX\C_FACE_MIX_0429.jpg;N;Long;Close Set;Aquiline;Flat;Bun;Straight;clean shaven;oval;narrow;no dimples;natural;round;oval
430;.\database\CHICAGO_MIX\C_FACE_MIX_0430.jpg;N;Square;Close Set;Aquiline;Soft Angled;Bob;Wavy;clean shaven;trianagle;narrow;no dimples;small;round;square
431;.\database\CHICAGO_MIX\C_FACE_MIX_0431.jpg;N;Round;Close Set;Aquiline;Angled;Pinned back;Wavy;clean shaven;oval;narrow;no dimples;thin upper;round;round
432;.\database\CHICAGO_MIX\C_FACE_MIX_0432.jpg;N;Round;Close Set;Aquiline;Angled;Medium length;Curly;clean shaven;oval;narrow;no dimples;thin;round;round
433;.\database\CHICAGO_MIX\C_FACE_MIX_0433.jpg;N;Round;Close Set;Aquiline;Flat;Medium length;Straight;clean shaven;oval;narrow;no dimples;thin upper;round;round
434;.\database\CHICAGO_MIX\C_FACE_MIX_0434.jpg;N;Round;Wide set;Aquiline;Rounded;Bob;Wavy;clean shaven;oval;narrow;no dimples;thin upper;round;round
435;.\database\CHICAGO_MIX\C_FACE_MIX_0435.jpg;N;Long;Wide set;Aquiline;Angled;Medium length;Straight;clean shaven;oval;narrow;no dimples;thin upper;monolid;round
436;.\database\CHICAGO_MIX\C_FACE_MIX_0436.jpg;N;Oval;Close Set;Aquiline;Rounded;Bob;Straight;clean shaven;oval;round;no dimples;natural;monolid;oval
437;.\database\CHICAGO_MIX\C_FACE_MIX_0437.jpg;N;Round;Close Set;Aquiline;Angled;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;thin upper;round;round
438;.\database\CHICAGO_MIX\C_FACE_MIX_0438.jpg;N;Round;Wide set;Aquiline;Angled;Pony Tail;Straight;clean shaven;oval;round;no dimples;thin upper;hooded;round
439;.\database\CHICAGO_MIX\C_FACE_MIX_0439.jpg;N;Round;Wide set;Droopy;Soft Angled;Bob;Straight;clean shaven;oval;narrow;no dimples;thin upper;downturned;round
440;.\database\CHICAGO_MIX\C_FACE_MIX_0440.jpg;N;Oval;Wide set;Aquiline;Curved;Medium length;Straight;clean shaven;trianagle;narrow;no dimples;thin;round;oval
441;.\database\CHICAGO_MIX\C_FACE_MIX_0441.jpg;N;Long;Wide set;Aquiline;Angled;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;small;round;oval
442;.\database\CHICAGO_MIX\C_FACE_MIX_0442.jpg;N;Round;Close Set;Snub;Rounded;Pony Tail;Straight;clean shaven;fat;narrow;no dimples;thin lower;almond;round
443;.\database\CHICAGO_MIX\C_FACE_MIX_0443.jpg;N;Round;Close Set;Snub;Angled;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;thin upper;almond;round
444;.\database\CHICAGO_MIX\C_FACE_MIX_0444.jpg;N;Long;Close Set;Aquiline;Soft Angled;Bob;Straight;clean shaven;oval;narrow;no dimples;thin upper;hooded;square
445;.\database\CHICAGO_MIX\C_FACE_MIX_0445.jpg;N;Oval;Close Set;Aquiline;Rounded;Bun;Straight;clean shaven;trianagle;broad;no dimples;thin upper;downturned;oval
446;.\database\CHICAGO_MIX\C_FACE_MIX_0446.jpg;N;Square;Close Set;Button;Rounded;Pinned back;Wavy;clean shaven;oval;sticking out;no dimples;thin;round;round
447;.\database\CHICAGO_MIX\C_FACE_MIX_0447.jpg;N;Oval;Close Set;Snub;Rounded;Bun;Straight;clean shaven;oval;sticking out;no dimples;natural;almond;square
448;.\database\CHICAGO_MIX\C_FACE_MIX_0448.jpg;N;Round;Close Set;Funnel;Rounded;Bob;Straight;clean shaven;oval;broad;no dimples;natural;monolid;round
449;.\database\CHICAGO_MIX\C_FACE_MIX_0449.jpg;N;Long;Close Set;Droopy;Rounded;Bun;Straight;clean shaven;diamond;square;no dimples;small;round;diamond
450;.\database\CHICAGO_MIX\C_FACE_MIX_0450.jpg;N;Round;Wide set;Funnel;Flat;Pony Tail;Straight;clean shaven;oval;round;no dimples;thin upper;hooded;square
451;.\database\CHICAGO_MIX\C_FACE_MIX_0451.jpg;N;Oval;Close Set;Upturned;Rounded;Pinned back;Straight;clean shaven;thin;square;no dimples;small;round;heart
452;.\database\CHICAGO_MIX\C_FACE_MIX_0452.jpg;N;Round;Wide set;Snub;Angled;Bob;Straight;clean shaven;oval;narrow;no dimples;natural;almond;round
453;.\database\CHICAGO_MIX\C_FACE_MIX_0453.jpg;N;Square;Close Set;Upturned;Angled;Medium length;Straight;clean shaven;oval;narrow;no dimples;thin;round;oval
454;.\database\CHICAGO_MIX\C_FACE_MIX_0454.jpg;N;Oval;Close Set;Button;Rounded;Bob;Curly;clean shaven;oval;narrow;no dimples;thin;round;oval
455;.\database\CHICAGO_MIX\C_FACE_MIX_0455.jpg;N;Square;Wide set;Snub;Angled;Bob;Straight;clean shaven;trianagle;attached;no dimples;natural;round;square
456;.\database\CHICAGO_MIX\C_FACE_MIX_0456.jpg;N;Long;Wide set;Snub;Curved;Bun;Straight;clean shaven;diamond;narrow;no dimples;full;monolid;square
457;.\database\CHICAGO_MIX\C_FACE_MIX_0457.jpg;N;Oval;Close Set;Snub;Angled;Bun;Straight;clean shaven;oval;narrow;no dimples;thin upper;almond;oval
458;.\database\CHICAGO_MIX\C_FACE_MIX_0458.jpg;N;Round;Wide set;Snub;Flat;Pony Tail;Straight;clean shaven;trianagle;sticking out;no dimples;natural;round;round
459;.\database\CHICAGO_MIX\C_FACE_MIX_0459.jpg;N;Round;Close Set;Button;Flat;Pinned back;Straight;clean shaven;fat;narrow;no dimples;small;round;round
460;.\database\CHICAGO_MIX\C_FACE_MIX_0460.jpg;N;Oval;Wide set;Upturned;Rounded;Bob;Wavy;clean shaven;diamond;attached;no dimples;thin upper;almond;heart
